cnpj;razao_social;nome_fantasia;cnae_principal;natureza_juridica;porte;situacao_cadastral;data_abertura;uf;cidade;bairro;cep;capital_social
00111222000270;Centro Odontológico Sorriso Perfeito Ltda;Sorriso Perfeito;8630504;206-2;ME;Ativa;22/10/2021;DF;Águas Claras;71910010;260000.00
11222333000271;Hospedagem Domiciliar Idosos Vida Longa Ltda;Vida Longa;8711501;206-2;ME;Ativa;03/05/2018;SP;São Paulo;Saúde;04180010;190000.00
22333444000272;Recicladora de Metais Sucata Forte Ltda;Sucata Forte;3831901;206-2;ME;Ativa;18/02/2016;SP;São Bernardo do Campo;Centro;09710010;560000.00
33444555000273;Depósito Bebidas Festa Total MEI;Festa Total Bebidas;4635401;203-8;MEI;Ativa;05/05/2023;BA;Salvador;Liberdade;40410010;15000.00
44555666000274;Clínica Dermatológica Pele Saudável Ltda;Pele Saudável;8630506;206-2;ME;Ativa;12/12/2022;RJ;Rio de Janeiro;Copacabana;22020010;270000.00
55666777000275;Pastelaria do Centro MEI;Pastelaria Centro;5611202;203-8;MEI;Ativa;14/02/2023;SP;São Paulo;Sé;01001000;5000.00
66777888000276;Fábrico Telhas e Cerâmica Norte Ltda;Telhas Norte;2320200;206-2;EPP;Ativa;10/10/2009;PA;Belém;Marco;66075010;1800000.00
77888999000277;Viveiro Mudas e Plantas Natureza Ltda;Natureza Mudas;4622801;206-2;ME;Ativa;25/03/2021;SP;Atibaia;Centro;12940010;220000.00
88999000000278;Revenda Veículos Usados Auto Bom Ltda;Auto Bom Veículos;4511102;206-2;ME;Ativa;14/11/2017;MG;Belo Horizonte;Centro;30110010;480000.00
99000111000279;Açougue Qualidade Carne Boi MEI;Açougue Qualidade;4721101;203-8;MEI;Ativa;16/09/2023;SP;São Paulo;Vila Maria;02117010;5000.00
00111222000280;Firma Individual Advocacia Dr. Silva;Dr. Silva Adv;6911701;230-5;MEI;Ativa;02/01/2023;SP;Ribeirão Preto;Centro;14010010;20000.00
11222333000281;Agência Publicidade Propaganda Criativa Ltda;Criativa Pub;7319002;206-2;ME;Ativa;19/12/2022;RJ;Rio de Janeiro;Botafogo;22250010;150000.00
22333444000282;Loja Artigos Festas e Decoração Alegria Ltda;Alegria Festas;4789001;206-2;MEI;Ativa;10/06/2022;SP;Campinas;Centro;13010010;20000.00
33444555000283;Companhia Saneamento Água Viva S/A;Água Viva Saneamento;3701100;205-4;GRANDE;Ativa;05/09/1978;SP;Americana;Centro;13465010;30000000.00
44555666000284;Hotel Econômico Estrela do Sul Ltda;Estrela do Sul Hotel;5510801;206-2;ME;Ativa;10/03/2016;MG;Poços de Caldas;Centro;37701010;520000.00
55666777000285;Lavanderia Higieniza Tudo Ltda;Higieniza Tudo;9601702;206-2;MEI;Ativa;23/07/2023;SP;São Paulo;Vila Carrão;03432010;8000.00
66777888000286;SP; ; ; ; ; ; ; ; ; ;
